asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
0652,1000-5000ul single channel pipettor,,VWR,Signature,742281137,,,,Yes,1000-5000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0653,1000-5000ul single channel pipettor,,VWR,Signature,742281164,,,,Yes,1000-5000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0654,0.5-10ul Pipette,,Biohit,M10,7518076,,,,Yes,0.5-10ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0655,100-1000ul single channel pipettor,,VWR,Signature,542261429,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0656,2-20ul single channel pipettor,,VWR,Signature,542230684,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0657,20-200ul single channel pipettor,,VWR,Signature,542251622,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0658,0.5-10ul Pipette,,VWR,V-3 Series,641420035,,,,Yes,0.5-10ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0659,100-1000ul Pipette,,VWR,V-3 Series,741460209,,,,Yes,100-1000ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0660,0.5-10ul Pipette,,VWR,V-3 Series,741420295,,,,Yes,0.5-10ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0661,20-200ul Pipette,,VWR,V-3 Series,741450273,,,,Yes,20-200ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0662,2-20ul Pipette,,VWR,V-3 Series,741430220,,,,Yes,2-20ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0663,VWR 100-1000ul single channel pipettor,,VWR,Signature,442260326,VWR,N/A,,Yes,VWR 100-1000ul single channel pipettor,,,Other,No,No,Yes,,acc % +/- 0.9-0.6; prec % +/- 0.45-0.25,,No,,,,,,No,,,,
0664,VWR 2-20ul single channel pipettor,,VWR,Signature,442232522,VWR,N/A,,Yes,VWR 2-20ul single channel pipettor,,,Other,No,No,Yes,,acc % +/- 3-0.8; prec % +/- 3-0.4,,No,,,,,,No,,,,
0665,VWR 10-100ul single channel pipettor,PD,VWR,Signature,442240302,VWR,N/A,N/A,Yes,VWR 10-100ul single channel pipettor,To measure small amounts of liquid for development processes,10-100 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require calibration,N/A,N/A,N/A
0666,VWR 100-1000ul single channel pipettor,PD,VWR,Signature,442260259,VWR,N/A,N/A,Yes,VWR 100-1000ul single channel pipettor,To measure small amounts of liquid for development processes,100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not need validation,N/A,N/A,N/A
0667,VWR 20-200ul single channel pipettor,,VWR,Signature,442253243,VWR,N/A,,Yes,VWR 20-200ul single channel pipettor,,,Other,No,No,Yes,,acc % +/- 1.2-0.6; prec % +/- 0.6-0.3,,No,,,,,,No,,,,
0668,VWR 2-20ul single channel pipettor,PD,VWR,Signature,442230075,VWR,N/A,,Yes,VWR 2-20ul single channel pipettor,,,Other,No,No,Yes,,acc % +/- 3-0.8; prec % +/- 3-0.4,,No,,,,,,No,,,,
0669,VWR 100-1000ul single channel pipettor,PD,VWR,Signature,742264308,VWR,N/A,N/A,Yes,VWR 100-1000ul single channel pipettor,To measure small amounts of liquid for development processes,100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0670,VWR 20-200ul single channel pipettor,PD,VWR,Signature,742251479,VWR,N/A,N/A,Yes,VWR 20-200ul single channel pipettor,To measure small amounts of liquid for development processes,20-200 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0671,VWR 10-100ul single channel pipettor,PD,VWR,Signature,742241039,VWR,N/A,N/A,Yes,VWR 10-100ul single channel pipettor,To measure small amounts of liquid for development processes,10-100 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not need validations,N/A,N/A,N/A
0672,VWR 2-20ul single channel pipettor,PD,VWR,Signature,742232254,VWR,N/A,N/A,Yes,VWR 2-20ul single channel pipettor,To measure small amounts of liquid for development processes,2-20 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not need validation,N/A,N/A,N/A
0673,VWR 0.5-10ul single channel pipettor,PD,VWR,Signature,742221363,VWR,N/A,N/A,Yes,VWR 0.5-10ul single channel pipettor,To measure small amounts of liquid for development processes,0.5-10 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not need validation,N/A,N/A,N/A
0674,20-200ul Pipette,AD,Biohit,M-Series,7516319,,,,Yes,20-200ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0675,100-1000ul Pipette,,Biohit,M-Series,7512525,,,,Yes,100-1000ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0676,2-20ul Pipette,AD,Biohit,M-Series,7513972,,,,Yes,2-20ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0677,VWR 2-20ul Pipette,,VWR,Signature,442232970,VWR,N/A,,Yes,VWR 2-20ul Pipette,,,Other,No,No,Yes,,acc % +/- 3-0.8 prec % +/- 3-0.4,,No,,,,,,No,,,,
0679,50-300ul 12-channel pipette,BD,Finnpipette,4510041,DH49777,VWR,N/A,N/A,Yes,50-300ul 12-channel pipette,Assay development; GLP sample analysis,5µl to 300µl,Other,No,No,Yes,n/a,50 ul = +/- 4.6%; 300 ul = +/- 1%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
0680,Hood,,Baker,EG-4252,48485,,,,No,Hood,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0681,Stirrer,,Corning,PC-610,3.21E+11,,,,No,Stirrer,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0682,Pump Mixer,,Master Flex L/S,77200-62,K04005079,,,,No,Pump Mixer,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0683,Differential Pressure Transmitter D/P-1,EN,Veris,N/A,N/A,N/A,N/A,N/A,No,Differential Pressure Transmitter D/P-1,Maintain differential pressure,"""0-0.25"""" WC""",Other,No,No,Yes,n/a,Per mfr recommendation,CAL-6,No,n/a,,FALSE,,,No,,,n/a,
0684,Differential Pressure Transmitter D/P-2,EN,Veris,N/A,N/A,N/A,N/A,N/A,No,Differential Pressure Transmitter D/P-2,Maintain differential pressure,"""0-0.25"""" WC""",Other,No,No,Yes,n/a,Per mfr recommendation,CAL-7,No,n/a,,FALSE,,,No,,,n/a,
0685,Differential Pressure Transmitter D/P-3,EN,Veris,N/A,N/A,N/A,N/A,N/A,No,Differential Pressure Transmitter D/P-3,Maintain differential pressure,"""0-0.25"""" WC""",Other,No,No,Yes,n/a,Per mfr recommendation,CAL-8,No,n/a,,FALSE,,,No,,,n/a,
0686,Differential Pressure Transmitter D/P-4,EN,Veris,N/A,N/A,N/A,N/A,N/A,No,Differential Pressure Transmitter D/P-4,Maintain differential pressure,"""0-0.25"""" WC""",Other,No,No,Yes,n/a,Per mfr recommendation,CAL-9,No,n/a,,FALSE,,,No,,,n/a,
0687,Differential Pressure Transmitter D/P-5,EN,Veris,N/A,N/A,N/A,N/A,N/A,No,Differential Pressure Transmitter D/P-5,Maintain differential pressure,"""0-0.25"""" WC""",Other,No,No,Yes,n/a,Per mfr recommendation,CAL-10,No,n/a,,FALSE,,,No,,,n/a,
0688,Differential Pressure Transmitter D/P-6,EN,Veris,N/A,N/A,N/A,N/A,N/A,No,Differential Pressure Transmitter D/P-6,Maintain differential pressure,"""0-0.25"""" WC""",Other,No,No,Yes,n/a,Per mfr recommendation,CAL-11,No,n/a,,FALSE,,,No,,,n/a,
0690,AAON Rooftop Unit RTU-1,,AAON,RM01880B02,200412AMCN0,Environmental Systems,AAON RM008,N/A,No,AAON Rooftop Unit RTU-1,Heating; ventilation; cooling of the CMF,n/a,Other,Yes,No,No,n/a,N/A,FALSE,Yes,n/a,,PM-1; PM-6,,,No,,,n/a,
0692,BSC,QC,Labconco,A2,080181491A,VWR,97000-866,8357,No,BSC,Aseptic processing during QC testing (BioAssay; Media Qualification; and Cell Culture),n/a,GMP,Yes,No,Yes,n/a,(1) HEPA supply velocity: overall avg acceptance range 50-60 fpm (2) Inflow velocity: 100-110 fpm,CAL-6,Yes,n/a,(1) HEPA filter leak test (2) Airflow alarm tests (3) UV intensity test (4) Sash alarm tests,PM-6,,,No,,,n/a,Cal & PM together constitute the 'certification' process.
0693,Binder Incubator,,Binder,KB115-UL,08-34852,VWR,80079-070,,No,Binder Incubator,,,Other,No,No,Yes,,+/- 0.5°C,,Yes,,,,,,No,,,,
0694,Conductivity Calibration Kit,EN,Thermo,N/A,161,Thermo,101001,N/A,Yes,Conductivity Calibration Kit,This kit will be used in the qualification of the conducting meter,1.0000µS; 10.0000µS; 100.0000µS; 1;000.0000µS; 10.0000mS; 100.0000mS,GMP,No,No,Yes,n/a,(1)1.0000µS+/-0.1% (2)10.0000µS+/-0.1% (3)100.0000µS+/-0.1% (4)1000.0000µS+/-0.1% (5)10.0000mSµS+/-0.1% (6)100.0000mSµS+/-0.1%,CAL-12,No,No moving parts,,FALSE,,,No,,,n/a,
0695,Watson Marlow Pump 520S,PD,Watson Marlow,5205/R2,I030342,Tom Moss & Assoc.,0S0;7131.2LA,,Yes,Watson Marlow Pump 520S,,,Other,No,No,No,,,,Yes,,,,,,No,,,,
0703,-80C Freezer,,Thermo Scientific,ULT2586-10-D41,P18T-249088-PT,,,,No,-80C Freezer,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0704,Binder Incubator,,Binder,KB115-UL,07-29276,,,,No,Binder Incubator,Stability chamber to assess the stability of product over long period of time,20°C to 25°C (set point = 22.5°C),Other,No,Yes,No,n/a,± 0.5°C,FALSE,No,n/a,,FALSE,,,No,,,n/a,
0705,-80 Thermo Scientific Revco Plus Ultra Low Temp Freezer,QC,Thermo Fisher Scientific,ULT2186-10-D42,P24T249262-PT,Thermo Fisher Scientific,N/A,N/A,No,-80 Thermo Scientific Revco Plus Ultra Low Temp Freezer,In-process; Drug-Substance; Drug Product; stability samples,°-65°C,GMP,No,No,Yes,n/a,-80°C +/- 5°C,CAL-6,Yes,n/a,1) Clean compressor compartment; condenser & fan blades (2) Clean filter screen (3) Remove ice build-up from sublids & breaker strips (4) Chk back-up alarm battery out of circuit,PM-6,No (Calibration/Maintenance Not Required),Tier 3,Yes,N/A,Standard freezer qualification.,08030-IOQ,Associated with 0717
0706,Top loading balance for research animals,,Chaus,AV2101,8029081007,VWR,11379-152,8835,No,Top loading balance for research animals,Scale will be used to weigh research animals,0.1g to 2100g,Other,No,No,Yes,n/a,,CAL-12,No,,,FALSE,,,No,,,n/a,
0707,Top loading balance for research animals,,Chaus,AV2102,8029081007,VWR,11379-152,8836,No,Top loading balance for research animals,Scale will be used to weigh research animals,0.1g to 2100g,Other,No,No,Yes,n/a,,CAL-13,No,,,FALSE,,,No,,,n/a,
0708,Image Scanner III,QC,GE Healthcare,J181A,1357604,GE Healthcare,28907607,8735,Yes,Image Scanner III,Aquiring images from 2 dimensional. Electrophoresis and IEF assays,n/a,GMP,Yes,Yes,Yes,n/a,see sop QC046,CAL-1,No,n/a,,FALSE,,,No,,,08052-IOQ,
0711,AKTA Prime Plus,PD,GE Healthcare,Prime Plus,1376628,,,,No,AKTA Prime Plus,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0712,AKTA Prime Plus,PD,GE Healthcare,Prime Plus,1375389,,,,No,AKTA Prime Plus,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0713,pH Meter,PD,Thermo Electron Corp.,Orion 4 Star; Orion Star Series,B00851,,,,Yes,pH Meter,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0714,Nanodrop Spectrophotometer,,Nano Drop/Thermo Fisher,ND-1000,4658,,,,No,Nanodrop Spectrophotometer,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0715,Industrial UV Cell; peek,,GE Healthcare,18-1134-56,2870,GE Healthcare,18-1134-56,8953,Yes,Industrial UV Cell; peek,UV cell moniters UV absorbance of effluent coming of columns,0-5AV,GMP,No,No,No,FlowCell does not require scheduled calibration,N/A,FALSE,No,FlowCell is cleaned in-line w/system and is maintained on a daily basis,,FALSE,,,No,,,n/a,
0716,Industrial UV Cell; peek,,GE Healthcare,18-1134-57,2871,GE Healthcare,18-1134-56,8953,Yes,Industrial UV Cell; peek,UV cell moniters UV absorbance of effluent coming of columns,0-5AV,GMP,No,No,No,FlowCell does not require scheduled calibration,N/A,FALSE,No,FlowCell is cleaned in-line w/system and is maintained on a daily basis,,FALSE,,,No,,,n/a,
0720,37ºC Incubator,QC,VWR,3074,310826-113,VWR,98000-358,8960,No,37ºC Incubator,Incubate cells for QC Assays,35°C to 38°C 5% CO2 +/- 1,GMP,No,No,Yes,n/a,temp: +/- 0.5°C @ 37°C & CO2 +/-0.5% @ 5% CO2,CAL-6,Yes,n/a,,PM-6,,,No,,,08028-IOQ; 08028-IOQ-A2-R,Previously Alerts service sht was used as PM sht. Upon discussion w/mfr; suggested PM is to inspect inner & outer door seals & gaskets & inspect tubing for leaks. Chk access port & sample filters & add rust inhibitor to the water jacket.
0722,Electronic Multi Channel Pipette; 250ul; cordless,QC,Matrix Technologies,Impact 2 Equalizer,137786018,Thermo Fisher Scientific,2032,8349,Yes,Electronic Multi Channel Pipette; 250ul; cordless,To pipette fluids ,5-250µL,GMP,No,No,Yes,n/a,5 ul = +/- 30%; 250 ul = +/- 2%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4-It should be noted that the mfr's tolerances apply at the lower test point 15uL even though the mfr only uses a lower test point of 100uL. The calibration vendor-PCS's explanation is filed in equipment folder.
0723,Oxygen Regulator,QC,Airgas,412-215A320,N/A,Airgas,Y12-215A320,8971,Yes,Oxygen Regulator,Sample gas for Raw Material testing,n/a,GMP,Yes,No,Yes,n/a,0;15;30 +/- 1 PSI (single incremental unit on dial),CAL-12,No,n/a,,FALSE,,,No,,,n/a,
0724,Carbon Dioxide Regulator,QC,Airgas,412-215A321,N/A,Air Gas,Y11-215A320,8971,Yes,Carbon Dioxide Regulator,Sample gas for Raw Material testing,n/a,GMP,Yes,No,Yes,n/a,0;15;30 +/- 1 PSI (single incremental unit on dial),CAL-12,No,n/a,,FALSE,,,No,,,n/a,
0725,Nitrogen Gas Regulator,QC,Airgas,412-215A322,N/A,Airgas,Y11-215A580,8971,Yes,Nitrogen Gas Regulator,Sample gas for Raw Material testing,n/a,GMP,Yes,No,Yes,n/a,0;15;30 +/- 1PSI (single incremental unit on dial),CAL-12,No,n/a,,FALSE,,,No,,,n/a,
0726,FACS calibur flow cytometer,,BD,342975,E97500894,,,,Yes,FACS calibur flow cytometer,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0727,Biotek Plate Washer,QC,Bio-Tek Instruments; Inc,ELX405UV,142215,Bio-Tek Instruments; Inc,ELX405,N/A,No,Biotek Plate Washer,To wash plates,n/a,GMP,Yes,Yes,Yes,n/a,per mfr spec,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,
0728,VWR Laboratory Thermostatic bath; hot water bath 12L 120V,QC,VWR,89032-216,WK081106,VWR,89032-216,8909,No,VWR Laboratory Thermostatic bath; hot water bath 12L 120V,Warm liquids to room temp,5°C-98°C,GMP,No,No,No,Will do calibration when needed,N/A,FALSE,No,Will clean when needed,,FALSE,,,No,,,n/a,
0729,Inverted Microscope; Vista Vision,QC,VWR,82026-630,805379,VWR,82026-630,9281,No,Inverted Microscope; Vista Vision,To view cells,n/a,GMP,No,No,No,Calibration is not applicable for microscopes,N/A,FALSE,Yes,n/a,,PM-12,,,No,,,n/a,
0731,250uL Thermo Scientific Pipette,BD,Thermo Scientific,Matrix,138950003,,,,Yes,250uL Thermo Scientific Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0732,1250uL Matrix Pipette,BD,Matrix Technologies,Impact 2,122131010,,,,Yes,1250uL Matrix Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0733,2-20uL Pipette,BD,VWR,Signature,442234279,,,,Yes,2-20uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 4
0734,100-1000uL Pipette,BD,VWR,Signature,442265828,,,,Yes,100-1000uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 4
0735,20-200uL Pipette,BD,VWR,Signature,442251694,,,,Yes,20-200uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 4
0736,100-1000uL Pipette,BD,VWR,Signature,742260567,,,,Yes,100-1000uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 4
0737,0.5-10uL Pipette,BD,VWR,Signature,642221108,,,,Yes,0.5-10uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 4
0738,2-20uL Pipette,BD,VWR,Signature,742230088,,,,Yes,2-20uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 4
0739,20-200uL Pipette,BD,VWR,Signature,742250292,,,,Yes,20-200uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 4
0740,5-50uL Pipette,BD,Thermo Electron Corp.,4510,CH61647,,,,Yes,5-50uL Pipette,,,Other,No,No,Yes,,5 ul = +/- 5%; 50 ul = +/- 1.5%,,Yes,,,,,,No,,,,Level 4
0741,0.5-10uL Pipette,,VWR,Signature,742221368,VWR,83009-724,,Yes,0.5-10uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0742,2-20uL Pipette,,VWR,Signature,842230495,,,,Yes,2-20uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0743,20-200uL Pipette,,VWR,Signature,842250064,,,,Yes,20-200uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0744,100-1000uL Pipette,,VWR,Signature,842260297,,,,Yes,100-1000uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0745,20-200uL Pipette,,VWR,Signature,742252192,VWR,83009-732,,Yes,20-200uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0746,100-1000uL Pipette,,VWR,Signature,742263946,VWR,83009-736,,Yes,100-1000uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0747,2-20uL Pipette,,VWR,Signature,742231818,VWR,83009-726,,Yes,2-20uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0748,Nanodrop ND-1000 Spectrophotometer,PD,Thermo Fisher Scientific,ND-1000,G3G3,,,,Yes,Nanodrop ND-1000 Spectrophotometer,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0749,5-50uL Thermo Scientific Pipette,,Thermo Scientific,4510,DH24474,,,,Yes,5-50uL Thermo Scientific Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0750,50-300uL Thermo Scientific Pipette,,Thermo Scientific,4510,DH40436,,,,Yes,50-300uL Thermo Scientific Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0751,0.5-10uL VWR Pipette,,VWR,Signature,641420044,,,,Yes,0.5-10uL VWR Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0752,100-1000uL VWR Pipette,,VWR,Signature,742261858,,,,Yes,100-1000uL VWR Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0753,50-300uL Thermo Scientific Pipette,PD,Thermo Scientific,4510,DH40877,,,,Yes,50-300uL Thermo Scientific Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0754,0.5-10uL VWR Pipette,,VWR,Signature,742220027,,,,Yes,0.5-10uL VWR Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0755,2-20uL VWR Pipette,,VWR,Signature,742230379,,,,Yes,2-20uL VWR Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0756,20-200uL VWR Pipette,,VWR,Signature,642252423,,,,Yes,20-200uL VWR Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0757,0-10 Bar Manometer,,Osaka-Nishino,18-1031-07,8B-00238,,,9586,Yes,0-10 Bar Manometer,Manometer measures presure over columns during protein purification,0-10 Bar,GMP,No,No,Yes,n/a,Pressure: 0;5;10 +/- 0.5 bar,CAL-6,No,Manometer is cleaned/maintained during use as part of chromatography system,,FALSE,,,No,,,n/a,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
0758,0-10 Bar Manometer,,Osaka-Nishino,18-1031-08,8B-00239,GE Healthcare,18-1031-07,9586,Yes,0-10 Bar Manometer,Manometer measures presure over columns during protein purification,0-10 Bar,GMP,No,No,Yes,n/a,Pressure: 0;5;10 +/- 0.5 bar,CAL-6,No,Manometer is cleaned/maintained during use as part of chromatography system,,FALSE,,,No,,,n/a,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
0759,BPG 200/500 Column,,GE Healthcare,18-1103-11,8033338,GE Healthcare,18-1103-11,9586,Yes,BPG 200/500 Column,Column Chromatography/Protein Purification,n/a,GMP,No,No,No,Column is not a calibrated piece of equipment,N/A,FALSE,No,Equipment is maintained as a system during operation; Column is also maintained during a column change over,N/A,FALSE,,,No,,,n/a,
0760,BPG 200/500 Column,,GE Healthcare,18-1103-11,8033390,GE Healthcare,18-1103-11,9586,Yes,BPG 200/500 Column,Column Chromatography/Protein Purification,n/a,GMP,No,No,No,Column is not a calibrated piece of equipment,N/A,FALSE,No,Equipment is maintained as a system during operation; Column is also maintained during a column change over,N/A,FALSE,,,No,,,n/a,
0761,O2 Gas Supply System serving the CMF,,Air Gas,(manifold) Y11-CP100DR540,(manifold) 102405,N/A,N/A,N/A,No,O2 Gas Supply System serving the CMF,Provide O2 gas for cell culture processes,n/a,Other,No,No,No,No instruments or components in the O2 gas supply system require calibration,,FALSE,Yes,n/a,,PM-12,,,No,,,08023-IOQ,
0762,CO2 Gas Supply System serving CMF,,Air Gas,(manifold) Y11-CP100DR541,(manifold) 102406,N/A,N/A,N/A,No,CO2 Gas Supply System serving CMF,Provide CO2 gas for cell culture processes,n/a,Other,No,No,No,No instruments or components in the CO2 gas system require calibration,,FALSE,Yes,n/a,,PM-12,,,No,,,08024-IOQ,
0769,Digital Long Stem Thermometer,PD,,,,,,,No,Digital Long Stem Thermometer,,,,No,No,,,,,,,,,,,,,,,
0770,2-20uL VWR Pipette,,VWR,Signature,842230486,,,,Yes,2-20uL VWR Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0771,100-1000uL VWR Pipette,PD,VWR,Signature,842260779,VWR,N/A,N/A,Yes,100-1000uL VWR Pipette,To measure small amounts of liquid for development processes,100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require calibration,N/A,N/A,N/A
0772,20-200uL VWR Pipette,PD,VWR,Signature,842250282,,,,Yes,20-200uL VWR Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0773,20-200uL VWR Pipette,PD,VWR,Signature,842250297,VWR,N/A,N/A,Yes,20-200uL VWR Pipette,To measure small amounts of liquid for development processes,20-200 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0774,0.5-10uL VWR Pipette,,VWR,Signature,842720022,,,,Yes,0.5-10uL VWR Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0775,100-1000uL VWR Pipette,,VWR,Signature,842260745,,,,Yes,100-1000uL VWR Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0776,2-20uL VWR Pipette,,VWR,Signature,842230471,,,,Yes,2-20uL VWR Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0777,0.5-10uL VWR Pipette,PD,VWR,Signature,842720021,VWR,N/A,N/A,Yes,0.5-10uL VWR Pipette,To measure small amounts of liquid for development processes,0.5-10 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0778,-80 Freezer,PD,Forma,Forma Model # 906,814215-2788,Thermo Fisher Scientific,N/A,9459,No,-80 Freezer,Development cold storage,° -65°C,Other,No,Yes,Yes,n/a,+/- 5,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,
