,asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,scan_file,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
253,346,Positive Displacement Pipette 100-1000ul,QC,Rainin,MR-103,J0693650J,Rainin,MR-1000,3650,No,Positive Displacement Pipette 100-1000ul,QC testing of raw amterials; in-process; drug substance & drug product,100µL to 1000µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,0346_J0693650J_22Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
254,347,System 200 Wave bioreactor,TBD,Wave,Base 200 EH,0039-0803-200EH,Wave,200EH,3183,No,TBD,TBD,TBD,Other,No,No,Yes,N/A,+/- 2,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,07005-IOQ,N/A
255,348,System 20/50 Wave bioreactor,TBD,Wave,Base 2050 EH,0391-0504-2050EH,N/A,N/A,N/A,Yes,System 20/50 Wave bioreactor,Cell cultures groqing and expression of protein in a volume of up to 25L,Temp: 0-50°C; Rock angle: 2-16°; RPM: 0-100,GMP,Yes,Yes,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
256,349,System 20/50 Wave bioreactor,PD,Wave,Base 2050 EH,0389-0504-2050EH,Wave,20/50 EH,N/A,Yes,System 20/50 Wave bioreactor,Cell culture; growth and expressions of protein in a volume of up to 25 L,Temp: 0-50°C; Rock angle: 2-12°; Rocks Per Minute: 0-100,Other,Yes,Yes,Yes,N/A,+/- 2,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,07003-IOQ,AF may need to be updated
257,350,System 20/50 Wave bioreactor,PD,Wave,Base 2050 EH,0389-0504-2050EH,Wave,20/50EH,N/A,Yes,System 20/50 Wave bioreactor,Cell culture; growth and expressions of protein in a volume of up to 25 L,Temp: 0-50°C; Rock angle: 2-12°; Rocks Per Minute: 0-100,Other,Yes,Yes,Yes,N/A,+/- 2,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,07004-IOQ,N/A
258,351,Water Bath,TBD,Sheldon Manufacturing,1224,10081006,VWR,14231-854,N/A,Yes,Water Bath,Warming media; AH; Glutamine; and thawing cells,~15°C to 45°C,Other,No,No,Yes,N/A,+/- 0.5C @ 37°C,CAL-6,No,VWR waterbaths Installation Operation Manual outlines only general cleaning of the bath,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,07001-IOQ,owner/location?
259,352,Fluke Multimeter 77III,EN,Fluke,77III,88300192,VWR,648995,N/A,Yes,Fluke Multimeter 77III,Unit is used to aid in the validation of equipment and has no direct impact to the quality of the in-process; intermediate or final product,600V CATIIIand 1000V CATII,GMP,No,No,Yes,N/A,600VAC +/- 2%; 600VDC +/- 0.3%; 100MVDC +/- 0.3%; 1000ohms +/- 0.5%; 1AAC +/- 2.5%; 1ADC +/- 0.5%; 100MAAC +/- 2.5%; 100MADC +/- 1.5%,CAL-12,No,Item is cleaned and battery and fuse are replaced as needed,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
260,353,Fluke Multimeter 77III,EN,Fluke,77III,92770096,VWR,648995,N/A,Yes,Fluke Multimeter 77III,Validation of in-process equipment,600V CATIIIand 1000V CATII,GMP,No,No,Yes,N/A,600VAC +/- 2%; 600VDC +/- 0.4%; 100MVDC +/- 0.3%; 1000ohms +/- 0.5%; 1AAC +/- 2.5%; 1ADC +/- 1.5%; 100MAAC +/- 2.5%; 100MADC +/- 1.5%,CAL-12,No,Battery and fuse are changed as needed,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Battery & fuse are replaced as needed
261,356,-80 Freezer,BD,Forma Scientific,817,84923-618,Biodirect,N/A,3662,No,-80 Freezer,Assay development Storage Reagents and Samples,°-65C is spec; should measure 0°C to -90°C,Other,No,No,Yes,N/A,+/- 5°C,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,07002-IOQ; 07002-IOQ-A1,Associated with 0386
262,357,Microcentrifuge (Microfuge 18),TBD,Beckman Coulter,367160,MFA65C114,N/A,N/A,N/A,No,Microcentrifuge (Microfuge 18),TBD,TBD,GMP,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,no AF need to investigate
263,358,Microcentrifuge (eppendorf 5415D0,TBD,Eppendorf,22621203,542542125,N/A,N/A,N/A,No,Microcentrifuge (eppendorf 5415D0,TBD,TBD,GMP,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,nothing in folder-need to investigate
264,359,Inverted Phase Microscope,TBD,VWR,12778-198,V200063,N/A,N/A,N/A,No,Inverted Phase Microscope,TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,owner may have chg'd-no AF-need to investigate
265,360,100 HR Timer,TBD,VWR,5500,2666879,N/A,N/A,N/A,Yes,100 HR Timer,TBD,TBD,GMP,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,nothing in folder-need to investigate
266,361,Pipettor (2-20 ulL) Single Channel,TBD,VWR,VWR VE20,542231954,N/A,N/A,N/A,Yes,Pipettor (2-20 ulL) Single Channel,TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 2-owner/location chg'd update AF
267,362,Pipettor (single channel; 20-200 uL),TBD,VWR,VWR VE200,542252818,N/A,N/A,N/A,Yes,Pipettor (single channel; 20-200 uL),TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 2-owner/location chg'd update AF
268,363,Pipettor (single channel; 100-1000 uL),TBD,VWR,VWR VE1000,542263583,N/A,N/A,N/A,Yes,Pipettor (single channel; 100-1000 uL),TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 2-owner/location chg'd update af
269,364,Multichannel Pipettor (12 channel; 20-200 uL),TBD,VWR,VWR MT200,642070092,N/A,N/A,N/A,Yes,Multichannel Pipettor (12 channel; 20-200 uL),TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 2-owner & dept chg'd to dev-update AF
270,365,Single Channel Pipettor (100-1000uL),BD,VWR,VWR VE1000,642262733,N/A,N/A,N/A,No,Single Channel Pipettor (100-1000uL),Assay development,N/A,Other,No,No,Yes,N/A,100 ul = +/- 0.9%; 500 ul = +/- 0.7%; 1000 ul = +/- 0.6%,CAL-12,Yes,Covered by calibration,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4-owner may have chg'd withing the group-update af?
271,366,Pipettor (single channel; 20-200uL),BD,VWR,VWR VE1001,642262734,N/A,N/A,N/A,No,Pipettor (single channel; 20-200uL),Assay development,N/A,Other,No,No,Yes,N/A,20 ul = +/- 1.2%; 100 ul = +/- 1%; 200 ul = +/- 0.6%,CAL-12,Yes,Covered by calibration,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
272,367,Pipettor (single channel; 2-20uL),BD,VWR,VWR VE1002,642262735,N/A,N/A,N/A,No,Pipettor (single channel; 2-20uL),Assay development,N/A,Other,No,No,Yes,N/A,2 ul = +/- 4%; 10 ul = +/- 1%; 20 ul = +/- 0.8%,CAL-13,Yes,Covered by calibration,TBD,PM-13,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
273,369,Multichannel Pipettor (12 channel; 5-50uL),BD,Thermo,4510040,CH61643,N/A,N/A,N/A,No,Multichannel Pipettor (12 channel; 5-50uL),Assay development,N/A,Other,No,No,Yes,N/A,5 ul = +/- 5%; 50 ul = +/- 1.5%,CAL-12,Yes,Calibration covers maintenance,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
274,370,Pipettor (single channel; 100-1000uL),BD,Thermo,4510041,CH61644,N/A,N/A,N/A,No,Pipettor (single channel; 100-1000uL),Assay development,N/A,Other,No,No,Yes,N/A,100 ul = +/- 0.9%; 500 ul = +/- 0.7%; 1000 ul = +/- 0.6%,CAL-13,Yes,Calibration covers maintenance,TBD,PM-13,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
275,371,Pipettor (single channel; 20-200uL),BD,Thermo,4510042,CH61645,N/A,N/A,N/A,No,Pipettor (single channel; 20-200uL),Assay development,N/A,Other,No,No,Yes,N/A,20 ul = +/- 1.2%; 100 ul = +/- 1%; 200 ul = +/- 0.6%,CAL-14,Yes,Calibration covers maintenance,TBD,PM-14,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
276,372,Pipettor (single channel; 2-20uL),BD,Thermo,4510043,CH61646,N/A,N/A,N/A,No,Pipettor (single channel; 2-20uL),Assay development,N/A,Other,No,No,Yes,N/A,2 ul = +/- 4%; 10 ul = +/- 1%; 20 ul = +/- 0.8%,CAL-15,Yes,Calibration covers maintenance,TBD,PM-15,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
277,373,Pipettor (single channel; 0.5-10uL),BD,Thermo,4510044,CH61647,N/A,N/A,N/A,No,Pipettor (single channel; 0.5-10uL),Assay development,N/A,Other,No,No,Yes,N/A,.5 ul = +/- 4%; 5 ul = +/- 1%; 10 ul = +/- 0.5%,CAL-16,Yes,Calibration covers maintenance,TBD,PM-16,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
278,374,Pipettor (12 channel; 250uL; Impact2; electric),BD,Thermo,4510045,CH61648,N/A,N/A,N/A,No,Pipettor (12 channel; 250uL; Impact2; electric),Assay development,N/A,Other,No,No,Yes,N/A,5 ul = +/- 30%; 250 ul = +/- 2%,CAL-17,Yes,Calibration covers maintenance,TBD,PM-17,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
279,375,Pipettor (single channel; 100-1000uL),BD,Thermo,4510046,CH61649,N/A,N/A,N/A,No,Pipettor (single channel; 100-1000uL),Assay development,N/A,Other,No,No,Yes,N/A,100 ul = +/- 0.9%; 500 ul = +/- 0.7%; 1000 ul = +/- 0.6%,CAL-18,Yes,Calibration covers maintenance,TBD,PM-18,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
280,376,Pipettor (single channel; 20-200uL),BD,Thermo,4510047,CH61650,N/A,N/A,N/A,No,Pipettor (single channel; 20-200uL),Assay development,N/A,Other,No,No,Yes,N/A,20 ul = +/- 1.2%; 100 ul = +/- 1%; 200 ul = +/- 0.6%,CAL-19,Yes,Calibration covers maintenance,TBD,PM-19,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
281,379,Multichannel pipettor (12 channel; 30-300uL); Finnipipette Novus; electric,BD,Thermo,4510050,CH61653,N/A,N/A,N/A,No,Multichannel pipettor (12 channel; 30-300uL); Finnipipette Novus; electric,Assay development,N/A,Other,No,No,Yes,N/A,30 ul = +/- 3%; 300 ul = +/- 1%,CAL-22,Yes,Calibration covers maintenance,TBD,PM-22,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
282,381,MiniKros Pilot Pump System w/ Integrated Pressure Monitoring,TBD,Spectrum Labs,900-1629,L06001925,Spectrum Labs,SYPU-M31-01N,4005,No,MiniKros Pilot Pump System w/ Integrated Pressure Monitoring,Filtration of cells away from ccontained media. Used to transfer liquids,N/A,GMP,No,No,Yes,N/A,volume: 2500 mL/min +/- 250 mL/min,CAL-12,No,N/A,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
283,382,MiniKros Pilot Pump System w/ Integrated Pressure Monitoring,TBD,Spectrum Labs,900-1630,L06001926,Spectrum Labs,SYPU-M31-01N,4005,No,MiniKros Pilot Pump System w/ Integrated Pressure Monitoring,Filtration of cells away from ccontained media. Used to transfer liquids,N/A,GMP,No,No,Yes,N/A,Volume: 2500 +/- 250 ml/min,CAL-12,No,N/A,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
284,383,Digital Long Stem Thermometer,PD,TBD,TBD,TBD,N/A,N/A,N/A,Yes,TBD,TBD,TBD,GMP,No,No,No,TBD,TBD,N/A,No,TBD,TBD,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,TBD,TBD,N/A,N/A
285,387,Pipettor (12 channel; 850uL; Impact2),MF,Matrix,2014,128333010,N/A,N/A,N/A,Yes,Pipettor (12 channel; 850uL; Impact2),TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 2-owner/location chg'd on AF-update AF
286,388,Sensory Input Module for Kaye Validator 2000,EN,Kaye / GE,X2025 rev.6,305067,Masy,N/A,3986,Yes,Sensory Input Module for Kaye Validator 2000,Qualification/Validation of controlled temperature storage units,N/A,GMP,No,No,Yes,N/A,as found +/- .21C as left +/- .02C,CAL-12,Yes,No moving parts,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
287,389,Sensory Input Module for Kaye Validator 2000,EN,Kaye / GE,X2025 rev.7,305068,Masy,N/A,3986,Yes,Sensory Input Module for Kaye Validator 2000,Qualification/Validation of controlled temperature storage units,N/A,GMP,No,No,Yes,N/A,as found +/- .21C as left +/- .02C,CAL-12,Yes,No moving parts,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
288,390,Intelligent Resistance Temperature Determination (IRTD) Probe,EN,Kaye / GE,M2801/IRTD-400,E0817,Masy,IRTD-400,3986,Yes,Intelligent Resistance Temperature Determination (IRTD) Probe,Calibrate thermocouples before and after used in controlled temperature storage units qualification/validation,-196°C to +420°C,GMP,No,No,Yes,N/A,as found & as left; difference + uncertainty greater than or equal to .025C,CAL-12,No,No moving parts,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
289,392,Kaye Validator 2000,EN,Kaye / GE,Validator 2000,304015,Masy,2000,3986,Yes,Kaye Validator 2000,Qualify/Validate controlled temperature units,N/A,GMP,No,No,Yes,N/A,see accession form,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
290,393,FTIR Spectrometer,QC,Perkin Elmer,Spectrum 100,LR64912C,PerkinElmer Inc.,L125000B,3840,Yes,FTIR Spectrometer,Used to measure absorbance of solutions,N/A,GMP,No,No,Yes,N/A,Annual calibration performed by Perkin Elmer,CAL-12,Yes,N/A,Annual PM performed by Peskin Elmer,PM-12,No (Calibration/Maintenance Not Required),,Tier 3,Yes,TBD,N/A,11021-IOQ-P,N/A
291,394,UV Spectrophotometer,QC,GE Healthcare,Ultrospec 3100Pro,99979,GE Healthcare,80-2112-31,4092,No,UV Spectrophotometer,To measure pretein concentration of intermediate process samples; drug substance and drug product. Protein concentration is determined by measureing absorbance at 280nm and 320nm,190nm to 900nm,GMP,No,Yes,Yes,N/A,Test performed: stray light; wavelength; absorbance & bandwidth. For detailed specifications see QC020.  Acceptance Criteria +/- 1 nm on wavelength and +/- 0.5 on % transmission,CAL-6,No,User manual states that user maintenance restricted to main fuse if need. All other maintenance is on a call-in; as needed basis,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 1,Yes,TBD,N/A,07010-IOQ,cal done in-house
292,395,Refridgerated Incubator / Stability Chamber,QC,Binder,KB115-UL,06-07514,VWR,80079-070,3457,No,Refridgerated Incubator / Stability Chamber,Quality control test articles including; but not limited to; EM and stability Samples,2°C to 35°C,GMP,No,Yes,Yes,N/A,32.5 +/- 0.5°C,CAL-6,Yes,N/A,(1)Check overtemp safety and alarms (2)Check door heaters and adjust if necessary (3)check refrigeration system (4)Inspect inner and outer door seals and gaskets,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,Yes,TBD,N/A,07011-IOQ,Associated with 0410
293,396,-80 deg Freezer,QC,Thermo Electron Corp.,ULT2586-9-A40,O09S-237842-OS,VWR,55702-562,3728,No,-80 deg Freezer,Stability samples and test samples,°-65°C,GMP,Yes,Yes,Yes,N/A,+/- 5°C,CAL-6,Yes,N/A,(1) Clean compressor compartment; condenser; fan blades (2) Clean filter screen (3) Remove ice build-up from sublids & breaker strips (4) Chk back-up alarm battery out of circuit (5) Inspect compressor operation,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,Yes,N/A,N/A,07012-IOQ,Associated with chart 0409
294,397,Vortexer,TBD,VWR,VM-3000,70104054,N/A,N/A,N/A,Yes,Vortexer,TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,empty folder-no info
295,398,Digital Timer,TBD,VWR,62344-641,61982445,N/A,N/A,N/A,Yes,Digital Timer,TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,empty folder-no info
296,399,Digital Timer,TBD,VWR,62344-641,61980593,N/A,N/A,N/A,Yes,Digital Timer,TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,empty folder-no info
297,400,Column Manometer,PD,Osaka/Nishino,18-1031-07,6H-00531,GE Healthcare,18-1031-07,3789,No,Column Manometer,Measures pressure over chromatography columns,0-10 Bar,Other,No,No,Yes,N/A,+/- 0.5 bar,CAL-6,No,Gaskets and seals will be inspected and cleaned routinely,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
298,401,Column Manometer,PD,Osaka/Nishino,18-1031-07,6H-00546,GE Healthcare,18-1031-01,N/A,No,Column Manometer,Measures pressure over process columns,0-10 Bar,Other,No,No,Yes,N/A,+/- 0.5 bar,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
299,402,BPG 20cm Column,PD,GE Healthcare,BPG 200/500,6122314,GE Healthcare,18-1103-11,3789,No,BPG 20cm Column,Column chromatography/protein purification,N/A,Other,No,No,No,Column does not require scheduled calibration,N/A,N/A,No,Column is cleaned and inspected prior to each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
300,403,BPG 20cm Column,TBD,GE Healthcare,BPG 200/500,6122290,GE Healthcare,18-1103-11,3789,No,BPG 20cm Column,Column Chromatography/Protein Purification,N/A,GMP,No,No,No,Column does not require scheduled calibration,N/A,N/A,No,Column is cleaned inspected prior to each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 1,No,N/A,TBD,N/A,N/A
301,404,Industrial UV Flow Cell,TBD,GE Healthcare,18-1134-56,2409,GE Healthcare,18-1134-56,3789,Yes,Industrial UV Flow Cell,Monitors UV absorbance during Column Chromatography/Protein Purification,N/A,GMP,No,No,No,Equipment is not calibrated instrument,N/A,N/A,No,Instrument is inspected and cleaned prior to each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
302,405,Industrial UV Flow Cell,TBD,GE Healthcare,18-1134-57,2410,GE Healthcare,18-1134-56,3789,Yes,Industrial UV Flow Cell,Monitors UV absorbance during Column Chromatography/Protein Purification,N/A,GMP,No,No,No,Equipment is not calibrated instrument,N/A,N/A,No,Instrument is inspected and cleaned prior to each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
303,406,Uvis-920 Monitor,TBD,GE Healthcare,Uvis - 920,1280022,GE Healthcare,11-0007-54,3789,Yes,Uvis-920 Monitor,Moniters A280 UV Absorbance during column chromatography/protein purification,0 to 5 AV,GMP,No,No,No,Equipment is not calibrated instrument,N/A,N/A,No,Instrument is inspected and cleaned prior to each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
304,407,Uvis-920 Monitor,PD,GE Healthcare,Uvis - 921,1280023,GE Healthcare,11-0007-54,3789,Yes,Uvis-920 Monitor,Moniters A280 UV Absorbance during column chromatography/protein purification,1 to 5 AV,GMP,No,No,No,Equipment is not calibrated instrument,N/A,N/A,No,Instrument is inspected and cleaned prior to each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
305,408,Visco Pro 2000; Viscometer,TBD,Cambridge Viscosity Inc,Visco Pro 2000,6100314,N/A,N/A,N/A,No,Visco Pro 2000; Viscometer,TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,No info in folder
306,412,BPG 30cm Column,TBD,GE Healthcare,18-1103-21,7022408,GE Healthcare,18-1103-21,3789,Yes,BPG 30cm Column,Column Chromatography/Protein Purification,N/A,GMP,No,No,No,Column is not a calibrated piece of equipment,N/A,N/A,No,Column is cleaned inspected prior to each use. All gaskets and FRITS/MESM will be replaced as per MF060 at time of change over,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 1,No,N/A,TBD,N/A,Three (3) 30cm BPG 300/500 columns (Asset #0412; 1129; 1130) were temporarily taken OOS for PM in Mar2015 and stored as back up units.  New column glass tubes (Asset #1630; 1631; 1632) replaced these units.
307,413,Heat Block,QC,VWR,Heat Block 2 949312,60922003,VWR,12621-108,N/A,Yes,Heat Block,Used to heat protein samples,5°C above ambient to 150°C,GMP,No,No,No,N/A,N/A,N/A,No,Clean surface as needed,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
308,414,Industrial Flow Cell,TBD,GE Healthcare,18-1134-56,1973,GE Healthcare,18-1134-56,3789,Yes,Industrial Flow Cell,Mointers UV over chromatography columns,0-5 AV,GMP,No,No,No,Equipment is not calibrated instrument,N/A,N/A,No,Instrument is inspected and cleaned prior to each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
309,416,NIST Thermometer,TBD,HB Instrument Co,Partial Immersion,C47821,VWR,61018-148,N/A,Yes,NIST Thermometer,To monitor temperature of heating block,-20/110°C,Other,No,No,Yes,N/A,+/- 1 C,CAL-12,No,No moving parts,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,annual cal or remove from service 16Feb08
310,417,NIST Thermometer,TBD,HB Instrument Co,Partial Immersion,C47822,VWR,61222-546,N/A,Yes,NIST Thermometer,To monitor temperature of heating block,30/124°F,Other,No,No,Yes,N/A,+/- 1 C,CAL-12,No,No moving parts,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
